id;the_geom;IdINSPIRE;Id_carr1km;I_est_cr;Id_carr_n;Groupe;Depcom;I_pauv;Id_car2010;Ind;Men;Men_pauv;Men_1ind;Men_5ind;Men_prop;Men_fmp;Ind_snv;Men_surf;Men_coll;Men_mais;Log_av45;Log_45_70;Log_70_90;Log_ap90;Log_inc;Log_soc;Ind_0_3;Ind_4_5;Ind_6_10;Ind_11_17;Ind_18_24;Ind_25_39;Ind_40_54;Ind_55_64;Ind_65_79;Ind_80p;Ind_inc;I_est_1km
carreau_pop_v2.1;MULTIPOLYGON (((1023410.768398186 6282634.07959175, 1023393.1202044608 6282833.840383766, 1023591.9000165052 6282851.943011435, 1023609.5483049483 6282652.18218124, 1023410.768398186 6282634.07959175)));CRS3035RES200mN2278200E4078400;CRS3035RES1000mN2278000E4078000;0;CRS3035RES200mN2278200E4078400;441429;06030;0;CRS3035RES200mN2278200E4078400;123.5;48.0;12.0;14.0;5.0;23.0;6.0;2512083.8;3427.0;33.0;15.0;33.0;11.0;0.0;3.0;1.0;0.0;4.5;6.5;6.0;13.5;8.0;26.0;18.0;10.0;13.0;16.0;2.0;0
carreau_pop_v2.2;MULTIPOLYGON (((1026294.9263511652 6279473.358601552, 1026277.2789194507 6279673.129318349, 1026476.0598426682 6279691.226637876, 1026493.7073712866 6279491.455883711, 1026294.9263511652 6279473.358601552)));CRS3035RES200mN2274800E4081000;CRS3035RES1000mN2274000E4081000;0;CRS3035RES4000mN2272000E4080000;438515;06029;0;CRS3035RES200mN2274800E4081000;218.0;133.0;24.0;69.0;1.0;70.0;12.0;5766491.5;9526.0;125.0;8.0;9.0;9.0;22.0;92.0;1.0;0.0;7.5;2.0;6.0;9.5;5.0;17.0;26.0;35.0;69.0;39.0;2.0;0
carreau_pop_v2.3;MULTIPOLYGON (((1023048.5041145317 6282198.350244428, 1023030.8563491919 6282398.112066531, 1023229.6364310202 6282416.215336147, 1023247.284291374 6282216.453475824, 1023048.5041145317 6282198.350244428)));CRS3035RES200mN2277800E4078000;CRS3035RES1000mN2277000E4078000;0;CRS3035RES1000mN2277000E4078000;440030;06030;0;CRS3035RES200mN2277800E4078000;117.5;48.0;3.0;9.0;2.0;25.0;7.0;2484084.0;3769.0;20.0;28.0;8.0;3.0;21.0;16.0;0.0;0.0;5.0;0.0;2.5;17.0;7.0;10.0;28.0;15.0;24.0;8.0;1.0;0
carreau_pop_v2.4;MULTIPOLYGON (((1022650.943640168 6282162.142704332, 1022633.2960648878 6282361.904449897, 1022832.0762271674 6282380.0084377825, 1022849.723897483 6282180.246653928, 1022650.943640168 6282162.142704332)));CRS3035RES200mN2277800E4077600;CRS3035RES1000mN2277000E4077000;1;CRS3035RES1000mN2277000E4077000;439974;06029;0;CRS3035RES200mN2277800E4077600;23.0;9.0;0.9;1.4;0.0;7.7;1.4;768205.5;1144.1;0.4;8.6;2.3;0.9;1.3;4.5;0.0;0.0;0.0;0.0;0.9;3.6;0.4;1.4;3.6;4.5;5.9;1.8;0.9;0
carreau_pop_v2.5;MULTIPOLYGON (((1022452.1633425269 6282144.0383956395, 1022434.5158622931 6282343.800102878, 1022633.2960648878 6282361.904449897, 1022650.943640168 6282162.142704332, 1022452.1633425269 6282144.0383956395)));CRS3035RES200mN2277800E4077400;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439985;06029;0;CRS3035RES200mN2277800E4077400;344.0;142.0;17.0;44.0;9.0;18.0;24.0;7312783.3;8963.0;142.0;0.0;0.0;0.0;0.0;142.0;0.0;54.0;22.0;13.0;29.5;40.5;14.0;112.0;74.0;19.0;10.0;2.0;8.0;0
carreau_pop_v2.6;MULTIPOLYGON (((1021657.0417475055 6282071.617569902, 1021639.3946475657 6282271.379123462, 1021838.1750120195 6282289.484907012, 1021855.8222070494 6282089.723314976, 1021657.0417475055 6282071.617569902)));CRS3035RES200mN2277800E4076600;CRS3035RES1000mN2277000E4076000;0;CRS3035RES1000mN2277000E4076000;439973;06029;0;CRS3035RES200mN2277800E4076600;543.0;223.0;21.0;59.0;13.0;15.0;60.0;1.03942291E7;14175.0;211.0;12.0;0.0;6.0;1.0;215.0;1.0;207.0;37.5;23.5;55.0;48.0;24.0;140.0;124.0;47.0;32.0;2.0;10.0;0
carreau_pop_v2.7;MULTIPOLYGON (((1022054.6026260275 6282107.828700961, 1022036.9553359188 6282307.5903314315, 1022235.7356193234 6282325.695396718, 1022253.3830045003 6282125.933727845, 1022054.6026260275 6282107.828700961)));CRS3035RES200mN2277800E4077000;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439976;06029;0;CRS3035RES200mN2277800E4077000;95.5;35.0;2.0;3.0;1.0;31.0;3.0;3041909.1;2903.0;13.0;22.0;0.0;0.0;0.0;35.0;0.0;0.0;6.0;3.0;5.5;9.0;3.0;17.0;31.0;5.0;12.0;0.0;4.0;0
carreau_pop_v2.8;MULTIPOLYGON (((1022849.723897483 6282180.246653928, 1022832.0762271674 6282380.0084377825, 1023030.8563491919 6282398.112066531, 1023048.5041145317 6282198.350244428, 1022849.723897483 6282180.246653928)));CRS3035RES200mN2277800E4077800;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439983;06029;0;CRS3035RES200mN2277800E4077800;232.5;127.0;15.0;59.0;2.0;89.0;12.0;5201413.8;7939.0;123.0;4.0;3.0;1.0;72.0;51.0;0.0;0.0;7.0;10.0;5.5;15.5;5.5;48.0;46.0;26.0;49.0;20.0;0.0;0
carreau_pop_v2.9;MULTIPOLYGON (((1025994.904082815 6282869.385238681, 1025977.2546585961 6283069.14652412, 1026176.0339553822 6283087.244481857, 1026193.6834741788 6282887.483158724, 1025994.904082815 6282869.385238681)));CRS3035RES200mN2278200E4081000;CRS3035RES1000mN2278000E4081000;1;CRS3035RES1000mN2278000E4081000;441489;06155;0;CRS3035RES200mN2278200E4081000;14.0;5.4;0.5;1.6;0.6;4.5;0.5;417956.7;773.8;0.2;5.2;0.3;0.8;1.9;2.4;0.0;0.0;0.0;0.0;0.7;0.9;0.7;1.3;2.9;2.6;2.7;1.7;0.5;0
carreau_pop_v2.10;MULTIPOLYGON (((1023013.208464407 6282597.873335237, 1022995.5604601507 6282797.634050785, 1023194.3403523632 6282815.737396881, 1023211.9884513589 6282615.976643083, 1023013.208464407 6282597.873335237)));CRS3035RES200mN2278200E4078000;CRS3035RES1000mN2278000E4078000;0;CRS3035RES200mN2278200E4078000;441432;06030;0;CRS3035RES200mN2278200E4078000;194.5;77.0;9.0;22.0;7.0;60.0;4.0;4711494.9;5988.0;53.0;24.0;5.0;20.0;10.0;42.0;0.0;0.0;4.0;3.0;15.0;16.5;10.0;27.0;48.0;22.0;28.0;15.0;6.0;0
